date,symbol,series_kind,open,high,low,close,adj_close,volume,trading_date
2016-11-04,TOPIX,TOPIX_INDEX_JPX,1353.8,1355.49,1337.62,1347.04,1347.04,,2016-11-04
2016-11-07,TOPIX,TOPIX_INDEX_JPX,1363.89,1367.28,1356.05,1362.8,1362.8,,2016-11-07
2016-11-08,TOPIX,TOPIX_INDEX_JPX,1367.57,1369.04,1360.1,1363.49,1363.49,,2016-11-08
2016-11-09,TOPIX,TOPIX_INDEX_JPX,1372.34,1382.03,1287.39,1301.16,1301.16,,2016-11-09
2016-11-10,TOPIX,TOPIX_INDEX_JPX,1326.85,1379.39,1326.5,1376.35,1376.35,,2016-11-10
2016-11-11,TOPIX,TOPIX_INDEX_JPX,1387.48,1398.99,1373.35,1378.28,1378.28,,2016-11-11
2016-11-14,TOPIX,TOPIX_INDEX_JPX,1386.96,1401.71,1385.97,1400.0,1400.0,,2016-11-14
2016-11-15,TOPIX,TOPIX_INDEX_JPX,1403.09,1406.05,1394.83,1402.98,1402.98,,2016-11-15
2016-11-16,TOPIX,TOPIX_INDEX_JPX,1416.82,1422.63,1414.84,1421.65,1421.65,,2016-11-16
2016-11-17,TOPIX,TOPIX_INDEX_JPX,1413.59,1423.08,1412.71,1423.08,1423.08,,2016-11-17
2016-11-18,TOPIX,TOPIX_INDEX_JPX,1435.31,1435.9,1428.31,1428.46,1428.46,,2016-11-18
2016-11-21,TOPIX,TOPIX_INDEX_JPX,1435.49,1444.18,1433.06,1442.93,1442.93,,2016-11-21
2016-11-22,TOPIX,TOPIX_INDEX_JPX,1441.76,1448.45,1439.79,1447.5,1447.5,,2016-11-22
2016-11-24,TOPIX,TOPIX_INDEX_JPX,1461.66,1463.47,1458.13,1459.96,1459.96,,2016-11-24
2016-11-25,TOPIX,TOPIX_INDEX_JPX,1463.92,1472.63,1456.34,1464.53,1464.53,,2016-11-25
2016-11-28,TOPIX,TOPIX_INDEX_JPX,1457.89,1471.19,1456.76,1469.58,1469.58,,2016-11-28
2016-11-29,TOPIX,TOPIX_INDEX_JPX,1462.38,1469.59,1462.24,1468.57,1468.57,,2016-11-29
2016-11-30,TOPIX,TOPIX_INDEX_JPX,1471.81,1473.02,1466.07,1469.43,1469.43,,2016-11-30
2016-12-01,TOPIX,TOPIX_INDEX_JPX,1486.08,1498.74,1478.75,1483.27,1483.27,,2016-12-01
2016-12-02,TOPIX,TOPIX_INDEX_JPX,1480.24,1484.52,1471.34,1477.98,1477.98,,2016-12-02
2016-12-05,TOPIX,TOPIX_INDEX_JPX,1470.42,1472.34,1462.07,1466.96,1466.96,,2016-12-05
2016-12-06,TOPIX,TOPIX_INDEX_JPX,1481.35,1483.43,1472.75,1477.2,1477.2,,2016-12-06
2016-12-07,TOPIX,TOPIX_INDEX_JPX,1484.16,1490.76,1481.18,1490.62,1490.62,,2016-12-07
2016-12-08,TOPIX,TOPIX_INDEX_JPX,1505.34,1512.69,1500.25,1512.69,1512.69,,2016-12-08
2016-12-09,TOPIX,TOPIX_INDEX_JPX,1512.98,1526.97,1510.98,1525.36,1525.36,,2016-12-09
2016-12-12,TOPIX,TOPIX_INDEX_JPX,1537.9,1542.99,1520.23,1531.43,1531.43,,2016-12-12
2016-12-13,TOPIX,TOPIX_INDEX_JPX,1525.87,1540.25,1523.0,1540.25,1540.25,,2016-12-13
2016-12-14,TOPIX,TOPIX_INDEX_JPX,1541.28,1542.29,1535.85,1538.69,1538.69,,2016-12-14
2016-12-15,TOPIX,TOPIX_INDEX_JPX,1543.37,1553.59,1536.91,1542.72,1542.72,,2016-12-15
